"Employee ID","First and Last Name","Employee Email","Grad Date","Cost Center","Role Type","Site Location","Manager Contact","Manager Email","Mentor Contact","Mentor Email","Program Status","Work Auth Status","Leave Status","Start Date","Stage","Stage 2 Promo Date","Stage 3 Promo Date","Hiring Meeting Date","Hiring Meeting Outcome","FTE Offer Status","Exit Date","Contact Card","University","L8","PIP Status"
"100234594","Scarlett Taylor","staylor@amazon.com","5/15/24","7781","Jr. DS","AUS13","Sandra Kim","skim@amazon.com","Marcus Webb","mwebb@amazon.com","Active","Authorized","Not on leave","5/15/22","Stage 1",,,,,"Not Extended",,"Scarlett Taylor","UT Austin","William Foster",
"100234595","Sebastian Hernandez","shernandez@amazon.com","9/21/26","8892","Jr. SDE","PHX11","Tony Flores","tflores@amazon.com","Ingrid Svensson","isvensson@amazon.com","Active","Authorized","Not on leave","9/21/24","Stage 3","12/18/25","4/24/26","7/2/26","Inclined","Accepted",,"Sebastian Hernandez","Arizona State University","Olivia Marsh",
"100234596","Aria Johnson","ajohnson@amazon.com","1/6/26","8892","Jr. BIE","DTW10","Tony Flores","tflores@amazon.com","Leonard Brooks","lbrooks@amazon.com","Active","Authorized","On leave","1/6/24","Stage 2","11/3/24",,"11/8/25","Inclined","Pending",,"Aria Johnson","University of Michigan","Olivia Marsh",
"100234597","Jack Wilson","jwilson@amazon.com","9/21/26","1134","Jr. AA","JFK27","Vanessa Cruz","vcruz@amazon.com","Howard Patel","hpatel@amazon.com","Active","Authorized","Not on leave","9/21/24","Stage 1",,,,,"Not Extended",,"Jack Wilson","NYU","Samuel Price",
"100234598","Grace Martinez","gmartinez@amazon.com","9/21/24","1134","Jr. SDE","WAS19","Vanessa Cruz","vcruz@amazon.com","Simone Dubois","sdubois@amazon.com","Active","Authorized","Not on leave","9/21/22","Stage 2","6/28/23",,"7/28/24","Inclined","Accepted",,"Grace Martinez","Georgetown University","Samuel Price",
"100234599","Owen Davis","odavis@amazon.com","1/6/25","2245","Jr. DS","SJC13","Frank Nguyen","fnguyen@amazon.com","Tara Singh","tsingh@amazon.com","Active","Authorized","Not on leave","1/6/23","Stage 2","1/24/24",,"10/8/24","Inclined","Pending",,"Owen Davis","UC Berkeley","Hannah Ross",
"100234600","Lily Anderson","landerson@amazon.com","9/21/26","2245","Jr. AS","SBA11","Frank Nguyen","fnguyen@amazon.com","Darius Coleman","dcoleman@amazon.com","Inactive","Authorized","Not on leave","9/21/24","Stage 1",,,,,"Not Extended","2/15/26","Lily Anderson","UCSB","Hannah Ross",
"100234601","Wyatt Thomas","wthomas@amazon.com","1/6/26","3356","Jr. BIE","SBP1","Irene Walsh","iwalsh@amazon.com","Mei Lin","mlin@amazon.com","Active","Authorized","Not on leave","1/6/24","Stage 2","10/15/24",,"11/9/25","Inclined","Accepted",,"Wyatt Thomas","Cal Poly SLO","George Nakamura",
"100234602","Penelope Jackson","pjackson@amazon.com","6/15/24","3356","Jr. SDE","SBP10","Irene Walsh","iwalsh@amazon.com","Raj Sharma","rsharma@amazon.com","Active","Authorized","Not on leave","6/15/22","Stage 1",,,,,"Not Extended",,"Penelope Jackson","Cal Poly SLO","George Nakamura",
"100234603","Luke Harris","lharris2@amazon.com","5/15/25","4467","Jr. DS","SBP12","Gregory Bell","gbell@amazon.com","Natasha Ivanova","nivanova@amazon.com","Active","Authorized","Not on leave","5/15/23","Stage 3","11/26/23","10/3/24","2/23/25","Inclined","Accepted",,"Luke Harris","USC","Fiona Clarke",
"100234604","Nora Robinson","nrobinson@amazon.com","1/6/26","4467","Jr. AA","MAD12","Gregory Bell","gbell@amazon.com","Tobias MÃ¼ller","tmuller@amazon.com","Active","Authorized","Not on leave","1/6/24","Stage 2","12/31/24",,"10/17/25","Inclined","Pending",,"Nora Robinson","IE University","Fiona Clarke",
"100234605","Caleb Martin","cmartin2@amazon.com","5/15/24","5578","Jr. SDE","MAD15","Heather Stone","hstone@amazon.com","Kwame Asante","kasante@amazon.com","PIP","Authorized","Not on leave","5/15/22","Stage 2","8/12/23",,"3/26/24","Not Inclined","Not Extended",,"Caleb Martin","IE University","Victor Reyes","Unsuccessful"
"100234606","Zoey Thompson","zthompson@amazon.com","5/15/26","5578","Jr. BIE","MRY11","Heather Stone","hstone@amazon.com","Priscilla Yuen","pyuen@amazon.com","Active","Authorized","Not on leave","5/15/24","Stage 1",,,,,"Not Extended",,"Zoey Thompson","UC Merced","Victor Reyes",
"100234607","Ryan Garcia","rgarcia@amazon.com","1/6/26","6681","Jr. AS","PDZ17","Lawrence Kim","lkim2@amazon.com","Brendan O'Brien","bobrien@amazon.com","Active","Authorized","Not on leave","1/6/24","Stage 2","7/26/24",,"10/12/25","Inclined","Accepted",,"Ryan Garcia","Arizona State University","Stephanie Cho",
"100234608","Stella White","swhite@amazon.com","6/15/25","6681","Jr. SDE","SEA76","Lawrence Kim","lkim2@amazon.com","Ananya Krishnan","akrishnan@amazon.com","Active","Authorized","Not on leave","6/15/23","Stage 2","2/19/24",,"3/17/25","Inclined","Pending",,"Stella White","University of Washington","Stephanie Cho",
"100234609","Isaiah Lewis","ilewis@amazon.com","1/6/24","7792","Jr. DS","SEA94","Donna Price","dprice@amazon.com","Cedric Fontaine","cfontaine@amazon.com","Active","Authorized","Not on leave","1/6/22","Stage 3","1/28/23","5/19/23","11/13/23","Inclined","Accepted",,"Isaiah Lewis","University of Washington","Alan Bridges",
"100234610","Violet Moore","vmoore@amazon.com","1/6/25","7792","Jr. AA","YVR26","Donna Price","dprice@amazon.com","Hiroshi Tanaka","htanaka@amazon.com","Active","Authorized","On leave","1/6/23","Stage 1",,,,,"Not Extended",,"Violet Moore","UBC","Alan Bridges",
"100234611","Eli Taylor","etaylor@amazon.com","6/15/24","8803","Jr. BIE","YYJ1","Russell Grant","rgrant@amazon.com","Fatou Diallo","fdiallo@amazon.com","Active","Authorized","Not on leave","6/15/22","Stage 2","6/12/23",,"4/29/24","Inclined","Pending",,"Eli Taylor","University of Victoria","Pamela Ortiz",
"100234612","Aurora Hernandez","ahernandez@amazon.com","9/21/26","8803","Jr. SDE","SEA22","Russell Grant","rgrant@amazon.com","Lena Hoffmann","lhoffmann@amazon.com","Active","Authorized","Not on leave","9/21/24","Stage 1",,,,,"Not Extended",,"Aurora Hernandez","University of Washington","Pamela Ortiz",
"100234613","Dominic Johnson","djohnson@amazon.com","5/15/24","1145","Jr. AS","SEA24","Carolyn Reed","creed@amazon.com","Matteo Romano","mromano@amazon.com","Active","Authorized","Not on leave","5/15/22","Stage 2","3/27/23",,"2/23/24","Inclined","Accepted",,"Dominic Johnson","University of Washington","Derek Lawson",
"100234614","Chloe Davis","cdavis@amazon.com","6/15/24","1145","Jr. DS","SAN13","Carolyn Reed","creed@amazon.com","Yolanda Ferreira","yferreira@amazon.com","PIP","Authorized","Not on leave","6/15/22","Stage 2","2/3/23",,"4/25/24","Not Inclined","Not Extended",,"Chloe Davis","UC San Diego","Derek Lawson","In Progress"
"100234615","Adrian Wilson","awilson@amazon.com","5/15/24","2256","Jr. BIE","SAN21","Philip Torres","ptorres@amazon.com","Sasha Petrov","spetrov@amazon.com","Active","Authorized","Not on leave","5/15/22","Stage 3","4/6/23","10/7/23","3/22/24","Inclined","Accepted",,"Adrian Wilson","UC San Diego","Ingrid Larsen",
"100234616","Hazel Anderson","handerson@amazon.com","1/6/26","2256","Jr. SDE","ATL11","Philip Torres","ptorres@amazon.com","Kofi Mensah","kmensah@amazon.com","Active","Authorized","Not on leave","1/6/24","Stage 2","9/6/24",,"11/16/25","Inclined","Pending",,"Hazel Anderson","Georgia Tech","Ingrid Larsen",
"100234617","Jaxon Thomas","jthomas@amazon.com","5/15/24","3367","Jr. AA","AUS13","Melissa Nguyen","mnguyen@amazon.com","Bianca Rossi","brossi@amazon.com","Active","Authorized","Not on leave","5/15/22","Stage 1",,,,,"Not Extended",,"Jaxon Thomas","UT Austin","Carlos Vega",
"100234618","Luna Harris","lharris3@amazon.com","6/15/24","3367","Jr. DS","PHX11","Melissa Nguyen","mnguyen@amazon.com","Alistair MacLeod","amacleod@amazon.com","Active","Authorized","Not on leave","6/15/22","Stage 2","2/8/23",,"3/28/24","Inclined","Accepted",,"Luna Harris","Arizona State University","Carlos Vega",
"100234619","Grayson Robinson","grobinson@amazon.com","1/6/26","4478","Jr. SDE","DTW10","Tiffany Clark","tclark@amazon.com","Emeka Obi","eobi@amazon.com","Active","Authorized","Not on leave","1/6/24","Stage 2","3/24/25",,"10/17/25","Inclined","Pending",,"Grayson Robinson","University of Michigan","Naomi Watkins",
"100234620","Savannah Martin","smartin@amazon.com","6/15/24","4478","Jr. BIE","JFK27","Tiffany Clark","tclark@amazon.com","Petra Novak","pnovak@amazon.com","Inactive","Authorized","Not on leave","6/15/22","Stage 1",,,,,"Not Extended","3/15/26","Savannah Martin","NYU","Naomi Watkins",
"100234621","Hunter Garcia","hgarcia@amazon.com","6/15/25","5589","Jr. AS","WAS19","Jerome Washington","jwashington@amazon.com","Amara Diop","adipop@amazon.com","Active","Authorized","Not on leave","6/15/23","Stage 2","2/7/24",,"4/19/25","Inclined","Accepted",,"Hunter Garcia","Georgetown University","Elaine Hoffman",
"100234622","Paisley Lewis","plewis@amazon.com","6/15/25","5589","Jr. SDE","SJC13","Jerome Washington","jwashington@amazon.com","Takeshi Yamamoto","tyamamoto@amazon.com","Active","Authorized","Not on leave","6/15/23","Stage 3","2/26/24","9/30/24","3/17/25","Inclined","Accepted",,"Paisley Lewis","UC Berkeley","Elaine Hoffman",
"100234623","Easton Moore","emoore@amazon.com","9/21/26","6692","Jr. DS","SBA11","Brittany Evans","bevans@amazon.com","Chiara Bianchi","cbianchi@amazon.com","Active","Authorized","Not on leave","9/21/24","Stage 2","6/14/25",,"7/24/26","Inclined","Pending",,"Easton Moore","UCSB","Marcus Webb",
"100234624","Willow Taylor","wtaylor@amazon.com","1/6/26","6692","Jr. AA","SBP1","Brittany Evans","bevans@amazon.com","Oluwaseun Adeyemi","oadeyemi@amazon.com","Active","Authorized","Not on leave","1/6/24","Stage 1",,,,,"Not Extended",,"Willow Taylor","Cal Poly SLO","Marcus Webb",
"100234625","Colton Jackson","cjackson@amazon.com","6/15/25","7703","Jr. BIE","SBP10","Alexis Morgan","amorgan@amazon.com","Ingrid BergstrÃ¶m","ibergstrom@amazon.com","Active","Authorized","Not on leave","6/15/23","Stage 2","9/2/24",,"4/20/25","Inclined","Accepted",,"Colton Jackson","Cal Poly SLO","Denise Huang",
"100234626","Autumn White","awhite3@amazon.com","6/15/26","7703","Jr. SDE","SBP12","Alexis Morgan","amorgan@amazon.com","Ravi Kapoor","rkapoor@amazon.com","PIP","Authorized","Not on leave","6/15/24","Stage 2","3/18/25",,"3/17/26","Not Inclined","Not Extended",,"Autumn White","USC","Denise Huang","In Progress"
"100234627","Brayden Harris","bharris@amazon.com","5/15/26","8814","Jr. AS","MAD12","Vincent Ortega","vortega@amazon.com","Solange Dupont","sdupont@amazon.com","Active","Authorized","Not on leave","5/15/24","Stage 1",,,,,"Not Extended",,"Brayden Harris","IE University","Sophia Brennan",
